EndYear,5y,10y,15y,20y,30y
1930,0.07398445892312422,,,,
1931,-0.030039279116810924,,,,
1932,-0.10253280666869458,,,,
1933,-0.08915792268068867,,,,
1934,-0.09069422335092647,,,,
1935,0.009904382251491262,0.041451684686553136,,,
1936,0.11137842632449724,0.03826461924296232,,,
1937,0.18888339044390068,0.03294909827149484,,,
1938,0.16111092808977823,0.02839131158302144,,,
1939,0.12262742688663009,0.010352217938228714,,,
1940,0.06809678095687954,0.038593096336127175,0.0502586972062502,,
1941,0.02985081393320721,0.06983829476145154,0.03545240727838461,,
1942,-0.003101731424624443,0.0886669800593507,0.0207895790437731,,
1943,-0.023834507766462787,0.06462971058321387,0.010679405601688341,,
1944,-0.027463252274360417,0.04489062903823893,-0.0024135546664736385,,
1945,-0.026294830701938388,0.019809470895584935,0.016497027179523727,0.030573768113427935,
1946,0.037386147783023516,0.033611614029844805,0.058909654030208314,0.03593550421143532,
1947,0.09520949857386785,0.04489829785275945,0.09084346539040555,0.038906518678378355,
1948,0.1323780131862109,0.05137450065918592,0.08674970422563288,0.039819408213678464,
1949,0.1571935590901643,0.06085496673513591,0.08105857364534885,0.035295691361473036,
1950,0.18820483686281486,0.07562130503178621,0.07310725884620117,0.05694506086081352,
1951,0.14400927597843638,0.08939404066449508,0.06917329399268923,0.07957188866132991,
1952,0.10435052749674356,0.09977051582113927,0.06435130126252186,0.094204663770592,
1953,0.08000894292872984,0.10588352958933922,0.06083395072673792,0.0850605798965518,
1954,0.06972719492110646,0.11260119537338853,0.06380416967595792,0.07821452545511387,
1955,0.064761856935319,0.1247911755155171,0.07198923834981352,0.07101479614919537,0.06106833940533507
1956,0.05493383261004303,0.09856911027452986,0.0777840123302338,0.06559551012294884,0.05640619559594451
1957,0.07453292961883506,0.08933971176909794,0.09129280355346125,0.06688762792102243,0.0554526619194422
1958,0.08487962495067403,0.08244154435604267,0.09883742939653661,0.06679493727243213,0.05383697031152734
1959,0.08823142545061113,0.07893964157976852,0.10441789728514594,0.0698590923936313,0.04964390357654924
1960,0.10064236019458161,0.0825534643898449,0.11668326603838919,0.07908181809058679,0.0654131687890589
1961,0.10385114681706797,0.07911534181602708,0.10032697479217978,0.08424251095592528,0.07941968492208473
1962,0.09135506849811104,0.08291133478583546,0.09001108348685949,0.09130836945657883,0.09042719501338392
1963,0.06459560122134467,0.07468975829173585,0.07645990259435709,0.09017507911031375,0.0815925668916051
1964,0.04300932357817633,0.06538045925188452,0.06682740508334817,0.08873484948866062,0.07391941637404686
1965,0.02338986115991304,0.06131344671885319,0.06246167408410441,0.09259141463097897,0.06777119960483069
1966,0.05087835863728918,0.07703912711981342,0.06961970261599904,0.0877508518088459,0.06939647501075497
1967,0.06853450617989809,0.0798845073361123,0.07809769320341475,0.08460180617839419,0.07120244708886725
1968,0.09598602004953971,0.08017678920852034,0.08174213160478438,0.08130857385319135,0.07123703219122635
